component_id	num_nodes	num_edges	unique_genes	node_ids	frac_telomeric	frac_pericentromeric	frac_acrocentric	frac_any_category	avg_num_edges	max_num_edges	density	avg_clustering	diameter	radius	is_tree	is_bipartite
0	2	1	AL627309.3;AP006222.1	chr1:1-13731;chr9:150595369-150617116	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
1	2	1	AC114498.1;AL031259.1	chr1:3-140066;chr6:171986258-172126591	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
2	3	2	AL078621.3;AL627309.3	chr1:16-13731;chr20:599-21749;chr7:156-22557	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
3	2	1	AC008443.6;AC114498.1	chr1:16-198196;chr5:181848663-182045430	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
4	3	2	LINC01002;unknown	chr19:197767-210319;chr1:3094-10547;chr6:172114937-172122390	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
5	2	1	AC114498.1;AC139099.2	chr17:84228420-84260309;chr1:5519-38160	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
6	7	6	AP006222.1;unknown	chr18:252586-254906;chr1:8267-10546;chr20:16271-18552;chr5:182027965-182030236;chr6:172114938-172117209;chr7:17072-19356;chr9:150598566-150600849	0.0	0.0	0.0	0.0	1.71	6	0.2857	0.0	2	1	True	True
7	2	1	unknown	chr1:24123-25439;chr1:24875-26285	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
8	2	1	unknown	chr1:24123-25486;chr1:24734-26285	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
9	4	3	AL731661.1;unknown	chr1:38155-64366;chr4:121723048-121750652;chr5:181973195-181999425;chr6:172056130-172082367	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
10	6	9	AL606534.3;AL731661.1;unknown	chr1:242400705-242434576;chr1:38155-70752;chr5:181966790-181999425;chr6:172049728-172082367;chrY:24515111-24549088;chrY:26135092-26169041	0.0	0.0	0.0	0.0	3.0	3	0.6	0.0	2	2	False	True
11	4	3	AL731661.1;unknown	chr1:223078514-223110542;chr1:40138-70752;chr5:181966790-181997442;chr6:172049728-172080384	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
12	8	15	AL672310.1;AP006222.1;LINC01881;LINC02193;unknown	chr16:96290243-96302674;chr1:58194-70752;chr20:21720-34154;chr2:242656656-242669206;chr5:181966790-181979375;chr6:172049728-172062304;chr7:22528-34974;chr9:150582957-150595398	0.0	0.0	0.0	0.0	3.75	5	0.5357	0.0	2	2	False	True
13	4	3	AL672310.1;METTL14-DT;unknown	chr1:64365-70752;chr4:121970329-121976721;chr5:181966790-181973196;chr6:172049728-172056131	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
14	4	3	AL672310.1;unknown	chr10:38526078-38527423;chr1:69404-70752;chr5:181966790-181968154;chr6:172049728-172051086	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
15	4	3	AL031259.1;OR4F16;OR4F21;OR4F28P	chr15:99627522-99680204;chr1:70777-127798;chr5:181915696-181966765;chr6:171998224-172049703	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
16	4	3	AC140725.2;FAM157A;OR4F21;WBP1LP11	chr11:71693-198119;chr19:74138-193471;chr1:70777-203711;chr3:200909070-201028229	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
17	6	5	AC069287.1;AC092192.1;AC138035.2;CICP18	chr11:128969-144600;chr19:123609-139607;chr1:127787-143710;chr3:200962899-200978764;chr4:167611803-167627338;chr5:181900116-181915707	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
18	2	1	AC092192.1;CICP18	chr1:127787-143730;chr20:39929-55549	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
19	6	5	AC069287.1;AC092192.1;AC138035.2;CICP10;CICP18;CICP6	chr11:128969-149740;chr19:123609-144748;chr1:127787-148854;chr2:242629551-242650885;chr3:200957758-200978764;chr5:181894973-181915707	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
20	5	6	AC092192.1;AL732372.3;CICP18;LINC00266-2P;LINC00266-4P	chr19:123609-149861;chr1:127787-153870;chr5:181889962-181915707;chrY:24554859-24586750;chrY:26174809-26206700	0.0	0.0	0.0	0.0	2.4	3	0.6	0.0	2	2	False	True
21	6	5	AC069287.1;AC092192.1;AC093392.2;CICP18;FAM157A;PCMTD2	chr11:128969-159995;chr19:123609-155374;chr1:127787-158763;chr20:66108099-66133963;chr3:200947273-200978764;chr5:181885062-181915707	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
22	4	3	AC092192.1;CICP18;FAM157B;FAM157C	chr16:96213825-96284456;chr1:127787-203711;chr7:40749-110577;chr9:150503618-150577184	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
23	2	1	CICP18;SEPTIN14P21	chr1:127787-205260;chr1:242440153-242512838	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
24	2	1	AC110079.1;CICP18	chr1:127787-205266;chr4:121896675-121964543	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
25	2	1	CICP18;SEPTIN7P9	chr10:38441753-38520298;chr1:127787-210442	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
26	2	1	AC092192.1;CICP18	chr1:127787-245234;chr1:223116306-223230821	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
27	2	1	CICP18;unknown	chr1:138513-140841;chr1:227152195-227154656	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
28	8	7	AC069287.1;AC138035.1;AC240565.2;AL627309.2;CICP18;FAM157A;SEPTIN14P8	chr11:141725-159461;chr16:96252346-96271708;chr1:140859-158241;chr1:227154664-227175007;chr3:200947800-200965758;chr5:181882174-181902975;chr7:53510-72041;chr9:150542134-150564427	0.0	0.0	0.0	0.0	1.75	7	0.25	0.0	2	1	True	True
29	19	18	AC069287.1;AC138035.2;AL133216.1;CICP18;LINC00266-1;LINC00266-4P;LINC01881;LINC02193;SEPTIN14P19;SEPTIN14P21;unknown	chr10:38505680-38507016;chr11:142257-143611;chr16:96269822-96271176;chr19:137281-138615;chr1:141391-142718;chr1:223130158-223131490;chr1:227173120-227174448;chr1:242453575-242454902;chr20:53189-54537;chr20:66119354-66120686;chr2:242636011-242637350;chr3:200963891-200965226;chr4:121949953-121951285;chr5:181901108-181902443;chr7:54042-55396;chr9:150562541-150563895;chr9:42771-44104;chrY:24574181-24575514;chrY:26194132-26195465	0.0	0.0	0.0	0.0	1.89	18	0.1053	0.0	2	1	True	True
30	5	4	AC069287.1;CICP18;SEPTIN14P19;unknown	chr11:142528-143611;chr19:137531-138615;chr1:141641-142718;chr1:223130408-223131490;chr2:113990467-113991550	0.0	0.0	0.0	0.0	1.6	4	0.4	0.0	2	1	True	True
